"","...1","...2","Make","Model","Variant","Displacement","Cylinders","Valves_Per_Cylinder","Emission_Norm","Fuel_Tank_Capacity","Fuel_Type","Height","Length","Width","Doors","City_Mileage","ARAI_Certified_Mileage","Kerb_Weight","Gears","Ground_Clearance","Front_Track","Rear_Track","Power","Torque","Seating_Capacity","Type","Wheelbase","Boot_Space","Minimum_Turning_Radius"
"482",482,481,NA,"Mercedes-Benz Gla-Class","220 D 4Matic",2143,4,4,"BS IV",70,"Diesel",1494,4424,1804,5,13.4,17.9,1585,4,183,1569,1560,"170PS@4000RPM","350Nm@1400-3400rpm",5,"Automatic",2699,421,11.84
"483",483,482,NA,"Mercedes-Benz Gla-Class","45 Aero Edition",1991,4,4,"BS IV",50,"Petrol",1479,4445,1804,5,10.2,13.8,1720,4,183,1569,1560,"375PS@6000rpm","475Nm@2250-5000rpm",5,"Automatic",2699,421,11.84
"484",484,483,35,"Kodiaq Scout","2.0 Tdi At",1968,4,4,"BS 6",63,"Diesel",1665,4697,1882,5,94.0801963534362,16.25,1799,4,188,1520,1526.37732656514,"148 bhp @ 3500 rpm","340 Nm @ 1750 rpm",7,"Automatic",2791,270,6.1
"485",485,484,29,"Countryman","Cooper S",1998,4,4,"BS IV",47,"Petrol",1557,4299,1822,5,94.0801963534362,14.41,1383.01553829079,6,179.415557830092,1520,1526.37732656514,"192PS@5500rpm","280Nm@1350rpm",5,"Automatic",2670,350,13.1699326599327
"486",486,485,29,"Countryman","Cooper Sd",1998,4,4,"BS IV",47,"Diesel",1557,4299,1822,5,94.0801963534362,19.19,1383.01553829079,6,179.415557830092,1520,1526.37732656514,"190PS@5500rpm","400NM@1750rpm",5,"Automatic",2670,350,5.8
"487",487,486,29,"Countryman","Cooper S Jcw Inspired",1998,4,4,"BS IV",47,"Petrol",1557,4299,1822,5,94.0801963534362,14.41,1383.01553829079,6,179.415557830092,1520,1526.37732656514,"192PS@5500rpm","280Nm@1350rpm",5,"Automatic",2670,350,5.8
"488",488,487,29,"Countryman","Black Edition",1998,4,4,"BS IV",47,"Petrol",1557,4299,1822,5,94.0801963534362,14.41,1383.01553829079,6,179.415557830092,1520,1526.37732656514,"192PS@5500rpm","280Nm@1350rpm",5,"Automatic",2670,350,5.8
"489",489,488,5,"X1","Sdrive20D Expedition",1995,4,4,"BS IV",51,"Diesel",1612,4439,2060,5,18,20.68,1383.01553829079,6,165,1821,1562,"190hp@4000rpm","400Nm@1750-2500rpm",5,"Automatic",2670,420,5.8
"490",490,489,5,"X1","Sdrive20D Xline",1995,4,4,"BS IV",51,"Diesel",1612,4439,2058,5,18,20.68,1383.01553829079,6,165,1821,1562,"190PS@4000rpm","400Nm@1750-2500rpm",5,"Automatic",2670,420,5.8
"491",491,490,5,"X1","Xdrive20D M Sport",1995,4,4,"BS IV",51,"Diesel",1612,4439,2058,5,18,20.68,1383.01553829079,6,165,1821,1562,"190PS@4000rpm","400Nm@1750-2500rpm",5,"Automatic",2670,420,5.8
"492",492,491,5,"X1","Sdrive20D M Sport",1995,4,4,"BS IV",61,"Diesel",1545,4477,2058,5,94.0801963534362,17.05,1670,6,179,1501,1529,"187bhp@4000rpm","400Nm@1750-2500rpm",5,"Automatic",2760,419,4.9
"493",493,492,5,"X1","Sdrive20I Xline",1998,4,4,"BS 6",51,"Petrol",1612,4439,1821,5,15.71,16.3,1383.01553829079,4,165,1821,1562,"192hp@5000rpm","280Nm@1350-4600rpm",5,"Automatic",2670,420,13.1699326599327
